id,Question ID,Question Title,Question Slug,Question Text,Topic Tagged text,Difficulty Level,Success Rate,total submission,total accepted,Likes,Dislikes,Like / Dislike Ratio,Hints,Similar Questions ID,Similar Questions Text,title lowercase
234,154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,"Suppose an array of length n sorted in ascending order is rotated between 1 and n times. For example, the array nums = [0,1,4,4,5,6,7] might become: Notice that rotating an array [a[0], a[1], a[2], ..., a[n-1]] 1 time results in the array [a[n-1], a[0], a[1], a[2], ..., a[n-2]]. Given the sorted rotated array nums that may contain duplicates, return the minimum element of this array. You must decrease the overall operation steps as much as possible. ","Array,Binary Search",Hard,43.3,744137,321946,2833,367,0.8853125,,153,Find Minimum in Rotated Sorted Array,find minimum in rotated sorted array ii
235,258,Add Digits,add-digits,"Given an integer num, repeatedly add all its digits until the result has only one digit, and return it. ","Math,Simulation,Number Theory",Easy,62.4,743480,463936,2409,1642,0.594667983,"A naive implementation of the above process is trivial. Could you come up with other methods? What are all the possible results? How do they occur, periodically or randomly? You may find this Wikipedia article useful.",2.02E+14,"Happy Number,Sum of Digits in the Minimum Number,Sum of Digits of String After Convert,Minimum Sum of Four Digit Number After Splitting Digits",add digits
237,301,Remove Invalid Parentheses,remove-invalid-parentheses,"Given a string s that contains parentheses and letters, remove the minimum number of invalid parentheses to make the input string valid. Return all the possible results. You may return the answer in any order. ","String,Backtracking,Breadth-First Search",Hard,46.8,735686,344520,4569,233,0.951478551,"Since we don't know which of the brackets can possibly be removed, we try out all the options! We can use recursion to try out all possibilities for the given expression. For each of the brackets, we have 2 options:


 We keep the bracket and add it to the expression that we are building on the fly during recursion.
 OR, we can discard the bracket and move on. The one thing all these valid expressions have in common is that they will all be of the same length i.e. as compared to the original expression, all of these expressions will have the same number of characters removed. 

Can we somehow find the number of misplaced parentheses and use it in our solution? For every left parenthesis, we should have a corresponding right parenthesis. We can make use of two counters which keep track of misplaced left and right parenthesis and in one iteration we can find out these two values. 


0 1 2 3 4 5 6 7
( ) ) ) ( ( ( )  
i = 0, left = 1, right = 0
i = 1, left = 0, right = 0
i = 2, left = 0, right = 1
i = 3, left = 0, right = 2
i = 4, left = 1, right = 2
i = 5, left = 2, right = 2
i = 6, left = 3, right = 2
i = 7, left = 2, right = 2


We have 2 misplaced left and 2 misplaced right parentheses. We found out that the exact number of left and right parenthesis that has to be removed to get a valid expression. So, e.g. in a 1000 parentheses string, if there are 2 misplaced left and 2 misplaced right parentheses, after we are done discarding 2 left and 2 right parentheses, we will have only one option per remaining character in the expression i.e. to consider them. We can't discard them.",202095,"Valid Parentheses,Minimum Number of Swaps to Make the String Balanced",remove invalid parentheses
238,222,Count Complete Tree Nodes,count-complete-tree-nodes,"Given the root of a complete binary tree, return the number of the nodes in the tree. According to Wikipedia, every level, except possibly the last, is completely filled in a complete binary tree, and all nodes in the last level are as far left as possible. It can have between 1 and 2h nodes inclusive at the last level h. Design an algorithm that runs in less than O(n) time complexity. ","Binary Search,Tree,Depth-First Search,Binary Tree",Medium,55.1,719342,396136,4722,312,0.938021454,,270,Closest Binary Search Tree Value,count complete tree nodes
239,188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,"You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k. Find the maximum profit you can achieve. You may complete at most k transactions. Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again). ","Array,Dynamic Programming",Hard,33.5,716430,239980,3790,152,0.961440893,,121122123,"Best Time to Buy and Sell Stock,Best Time to Buy and Sell Stock II,Best Time to Buy and Sell Stock III",best time to buy and sell stock iv
240,1036,Rotting Oranges,rotting-oranges,"You are given an m x n grid where each cell can have one of three values: Every minute, any fresh orange that is 4-directionally adjacent to a rotten orange becomes rotten. Return the minimum number of minutes that must elapse until no cell has a fresh orange. If this is impossible, return -1. ","Array,Breadth-First Search,Matrix",Medium,51.7,714974,369469,6363,272,0.959005275,,2862206,"Walls and Gates,Detonate the Maximum Bombs",rotting oranges
241,547,Number of Provinces,number-of-provinces,"There are n cities. Some of them are connected, while some are not. If city a is connected directly with city b, and city b is connected directly with city c, then city a is connected indirectly with city c. A province is a group of directly or indirectly connected cities and no other cities outside of the group. You are given an n x n matrix isConnected where isConnected[i][j] = 1 if the ith city and the jth city are directly connected, and isConnected[i][j] = 0 otherwise. Return the total number of provinces. ","Depth-First Search,Breadth-First Search,Union Find,Graph",Medium,62.6,713510,446459,4990,235,0.955023923,,3.24E+19,"Number of Connected Components in an Undirected Graph,Robot Return to Origin,Sentence Similarity,Sentence Similarity II,The Earliest Moment When Everyone Become Friends,Detonate the Maximum Bombs",number of provinces
242,437,Path Sum III,path-sum-iii,"Given the root of a binary tree and an integer targetSum, return the number of paths where the sum of the values along the path equals targetSum. The path does not need to start or end at the root or a leaf, but it must go downwards (i.e., traveling only from parent nodes to child nodes). ","Tree,Depth-First Search,Binary Tree",Medium,50.2,713399,357889,7352,359,0.953443133,,1.12E+11,"Path Sum,Path Sum II,Path Sum IV,Longest Univalue Path",path sum iii
243,224,Basic Calculator,basic-calculator,"Given a string s representing a valid expression, implement a basic calculator to evaluate it, and return the result of the evaluation. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval(). ","Math,String,Stack,Recursion",Hard,40.5,713024,288485,3519,291,0.923622047,,1.50E+22,"Evaluate Reverse Polish Notation,Basic Calculator II,Different Ways to Add Parentheses,Expression Add Operators,Basic Calculator III,The Score of Students Solving Math Expression,Minimize Result by Adding Parentheses to Expression",basic calculator
244,106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,"Given two integer arrays inorder and postorder where inorder is the inorder traversal of a binary tree and postorder is the postorder traversal of the same tree, construct and return the binary tree. ","Array,Hash Table,Divide and Conquer,Tree,Binary Tree",Medium,55.2,707765,390759,4348,72,0.983710407,,105,Construct Binary Tree from Preorder and Inorder Traversal,construct binary tree from inorder and postorder traversal
245,617,Merge Two Binary Trees,merge-two-binary-trees,"You are given two binary trees root1 and root2. Imagine that when you put one of them to cover the other, some nodes of the two trees are overlapped while the others are not. You need to merge the two trees into a new binary tree. The merge rule is that if two nodes overlap, then sum node values up as the new value of the merged node. Otherwise, the NOT null node will be used as the node of the new tree. Return the merged tree. Note: The merging process must start from the root nodes of both trees. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,77.9,707017,550478,6402,241,0.96372121,,,,merge two binary trees
246,975,Range Sum of BST,range-sum-of-bst,"Given the root node of a binary search tree and two integers low and high, return the sum of values of all nodes with a value in the inclusive range [low, high]. ","Tree,Depth-First Search,Binary Search Tree,Binary Tree",Easy,85.1,705825,600407,4038,332,0.92402746,,,,range sum of bst
247,93,Restore IP Addresses,restore-ip-addresses,"A valid IP address consists of exactly four integers separated by single dots. Each integer is between 0 and 255 (inclusive) and cannot have leading zeros. Given a string s containing only digits, return all possible valid IP addresses that can be formed by inserting dots into s. You are not allowed to reorder or remove any digits in s. You may return the valid IP addresses in any order. ","String,Backtracking",Medium,41.7,705550,294170,2649,624,0.809349221,,752,IP to CIDR,restore ip addresses
248,86,Partition List,partition-list,"Given the head of a linked list and a value x, partition it such that all nodes less than x come before nodes greater than or equal to x. You should preserve the original relative order of the nodes in each of the two partitions. ","Linked List,Two Pointers",Medium,47.8,703320,335965,3376,474,0.876883117,,2265,Partition Array According to Given Pivot,partition list
249,263,Ugly Number,ugly-number,"An ugly number is a positive integer whose prime factors are limited to 2, 3, and 5. Given an integer n, return true if n is an ugly number. ",Math,Easy,41.8,699108,292500,1376,1018,0.574770259,,202204264,"Happy Number,Count Primes,Ugly Number II",ugly number
250,332,Reconstruct Itinerary,reconstruct-itinerary,"You are given a list of airline tickets where tickets[i] = [fromi, toi] represent the departure and the arrival airports of one flight. Reconstruct the itinerary in order and return it. All of the tickets belong to a man who departs from ""JFK"", thus, the itinerary must begin with ""JFK"". If there are multiple valid itineraries, you should return the itinerary that has the smallest lexical order when read as a single string. You may assume all tickets form at least one valid itinerary. You must use all the tickets once and only once. ","Depth-First Search,Graph,Eulerian Circuit",Hard,40.1,689553,276521,3766,1545,0.709094333,,20512201,"Longest Common Subpath,Valid Arrangement of Pairs",reconstruct itinerary
252,232,Implement Queue using Stacks,implement-queue-using-stacks,"Implement a first in first out (FIFO) queue using only two stacks. The implemented queue should support all the functions of a normal queue (push, peek, pop, and empty). Implement the MyQueue class: Notes: ","Stack,Design,Queue",Easy,57.9,682866,395580,3210,218,0.936406068,,225,Implement Stack using Queues,implement queue using stacks
253,85,Maximal Rectangle,maximal-rectangle,"Given a rows x cols binary matrix filled with 0's and 1's, find the largest rectangle containing only 1's and return its area. ","Array,Dynamic Programming,Stack,Matrix,Monotonic Stack",Hard,42.7,682660,291357,6471,106,0.983883229,,84221,"Largest Rectangle in Histogram,Maximal Square",maximal rectangle
254,692,Top K Frequent Words,top-k-frequent-words,"Given an array of strings words and an integer k, return the k most frequent strings. Return the answer sorted by the frequency from highest to lowest. Sort the words with the same frequency by their lexicographical order. ","Hash Table,String,Trie,Sorting,Heap (Priority Queue),Bucket Sort,Counting",Medium,54.3,682591,370829,4346,245,0.94663472,,34710141919,"Top K Frequent Elements,K Closest Points to Origin,Sort Features by Popularity",top k frequent words
256,733,Flood Fill,flood-fill,"An image is represented by an m x n integer grid image where image[i][j] represents the pixel value of the image. You are also given three integers sr, sc, and newColor. You should perform a flood fill on the image starting from the pixel image[sr][sc]. To perform a flood fill, consider the starting pixel, plus any pixels connected 4-directionally to the starting pixel of the same color as the starting pixel, plus any pixels connected 4-directionally to those pixels (also with the same color), and so on. Replace the color of all of the aforementioned pixels with newColor. Return the modified image after performing the flood fill. ","Array,Depth-First Search,Breadth-First Search,Matrix",Easy,58.2,673313,391611,3924,373,0.913195253,"Write a recursive function that paints the pixel if it's the correct color, then recurses on neighboring pixels.",463,Island Perimeter,flood fill
257,229,Majority Element II,majority-element-ii,"Given an integer array of size n, find all elements that appear more than  n/3  times. ","Array,Hash Table,Sorting,Counting",Medium,42.2,667653,282018,4680,277,0.944119427,"How many majority elements could it possibly have?

Do you have a better hint? Suggest it!",1691102,"Majority Element,Check If a Number Is Majority Element in a Sorted Array",majority element ii
258,1250,Longest Common Subsequence,longest-common-subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. If there is no common subsequence, return 0. A subsequence of a string is a new string generated from the original string with some characters (can be none) deleted without changing the relative order of the remaining characters. A common subsequence of two strings is a subsequence that is common to both strings. ","String,Dynamic Programming",Medium,58.9,666769,392632,6213,70,0.988858825,"Try dynamic programming. 
DP[i][j] represents the longest common subsequence of text1[0 ... i] & text2[0 ... j]. DP[i][j] = DP[i - 1][j - 1] + 1 , if text1[i] == text2[j]
DP[i][j] = max(DP[i - 1][j], DP[i][j - 1]) , otherwise",5.17E+13,"Longest Palindromic Subsequence,Delete Operation for Two Strings,Shortest Common Supersequence ,Maximize Number of Subsequences in a String",longest common subsequence
259,109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,"Given the head of a singly linked list where elements are sorted in ascending order, convert it to a height balanced BST. For this problem, a height-balanced binary tree is defined as a binary tree in which the depth of the two subtrees of every node never differ by more than 1. ","Linked List,Divide and Conquer,Tree,Binary Search Tree,Binary Tree",Medium,55.4,664109,367942,4468,113,0.975332897,,1082306,"Convert Sorted Array to Binary Search Tree,Create Binary Tree From Descriptions",convert sorted list to binary search tree
260,342,Power of Four,power-of-four,"Given an integer n, return true if it is a power of four. Otherwise, return false. An integer n is a power of four, if there exists an integer x such that n == 4x. ","Math,Bit Manipulation,Recursion",Easy,43.9,663170,291168,1445,285,0.835260116,,231326,"Power of Two,Power of Three",power of four
261,383,Ransom Note,ransom-note,"Given two strings ransomNote and magazine, return true if ransomNote can be constructed from magazine and false otherwise. Each letter in magazine can only be used once in ransomNote. ","Hash Table,String,Counting",Easy,55.8,659531,367856,1646,297,0.847143592,,691,Stickers to Spell Word,ransom note
262,990,Verifying an Alien Dictionary,verifying-an-alien-dictionary,"In an alien language, surprisingly, they also use English lowercase letters, but possibly in a different order. The order of the alphabet is some permutation of lowercase letters. Given a sequence of words written in the alien language, and the order of the alphabet, return true if and only if the given words are sorted lexicographically in this alien language. ","Array,Hash Table,String",Easy,52.5,655595,344275,2739,916,0.749384405,,,,verifying an alien dictionary
263,695,Max Area of Island,max-area-of-island,"You are given an m x n binary matrix grid. An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical.) You may assume all four edges of the grid are surrounded by water. The area of an island is the number of cells with a value 1 in the island. Return the maximum area of an island in grid. If there is no island, return 0. ","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,69.6,648302,450928,5777,144,0.975679784,,2.00E+13,"Number of Islands,Island Perimeter,Largest Submatrix With Rearrangements,Detonate the Maximum Bombs",max area of island
265,334,Increasing Triplet Subsequence,increasing-triplet-subsequence,"Given an integer array nums, return true if there exists a triple of indices (i, j, k) such that i < j < k and nums[i] < nums[j] < nums[k]. If no such indices exists, return false. ","Array,Greedy",Medium,41.5,642716,266546,3768,208,0.947686117,,30021222280,"Longest Increasing Subsequence,Count Special Quadruplets,Count Good Triplets in an Array",increasing triplet subsequence
266,329,Longest Increasing Path in a Matrix,longest-increasing-path-in-a-matrix,"Given an m x n integers matrix, return the length of the longest increasing path in matrix. From each cell, you can either move in four directions: left, right, up, or down. You may not move diagonally or move outside the boundary (i.e., wrap-around is not allowed). ","Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Topological Sort,Memoization",Hard,49.6,639552,317264,5154,88,0.983212514,,,,longest increasing path in a matrix
267,389,Find the Difference,find-the-difference,You are given two strings s and t. String t is generated by random shuffling string s and then add one more letter at a random position. Return the letter that was added to t. ,"Hash Table,String,Bit Manipulation,Sorting",Easy,60.5,635903,384938,2700,381,0.876338851,,136,Single Number,find the difference
268,37,Sudoku Solver,sudoku-solver,Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules: The '.' character indicates empty cells. ,"Array,Backtracking,Matrix",Hard,53.7,634540,340851,4947,149,0.970761381,,361022,"Valid Sudoku,Unique Paths III",sudoku solver
269,60,Permutation Sequence,permutation-sequence,"The set [1, 2, 3, ..., n] contains a total of n! unique permutations. By listing and labeling all of the permutations in order, we get the following sequence for n = 3: Given n and k, return the kth permutation sequence. ","Math,Recursion",Hard,42,633058,265892,3601,392,0.901828199,,"31,46","Next Permutation,Permutations",permutation sequence
270,378,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix. Note that it is the kth smallest element in the sorted order, not the kth distinct element. You must find a solution with a memory complexity better than O(n2). ","Array,Binary Search,Sorting,Heap (Priority Queue),Matrix",Medium,59.6,632411,376832,5707,236,0.960289416,,3.74E+11,"Find K Pairs with Smallest Sums,Kth Smallest Number in Multiplication Table,Find K-th Smallest Pair Distance,K-th Smallest Prime Fraction",kth smallest element in a sorted matrix
271,581,Shortest Unsorted Continuous Subarray,shortest-unsorted-continuous-subarray,"Given an integer array nums, you need to find one continuous subarray that if you only sort this subarray in ascending order, then the whole array will be sorted in ascending order. Return the shortest such subarray and output its length. ","Array,Two Pointers,Stack,Greedy,Sorting,Monotonic Stack",Medium,34.2,631258,215582,4950,201,0.960978451,,,,shortest unsorted continuous subarray
272,803,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,"There are n cities connected by some number of flights. You are given an array flights where flights[i] = [fromi, toi, pricei] indicates that there is a flight from city fromi to city toi with cost pricei. You are also given three integers src, dst, and k, return the cheapest price from src to dst with at most k stops. If there is no such route, return -1. ","Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path",Medium,36.1,631258,227605,4765,212,0.957404059,,5682230,"Maximum Vacation Days,Minimum Cost to Reach City With Discounts",cheapest flights within k stops
273,461,Hamming Distance,hamming-distance,"The Hamming distance between two integers is the number of positions at which the corresponding bits are different. Given two integers x and y, return the Hamming distance between them. ",Bit Manipulation,Easy,74.5,630915,469900,3021,197,0.938781852,,191477,"Number of 1 Bits,Total Hamming Distance",hamming distance
274,228,Summary Ranges,summary-ranges,"You are given a sorted unique integer array nums. A range [a,b] is the set of all integers from a to b (inclusive). Return the smallest sorted list of ranges that cover all the numbers in the array exactly. That is, each element of nums is covered by exactly one of the ranges, and there is no integer x such that x is in one of the ranges but not in nums. Each range [a,b] in the list should be output as: ",Array,Easy,46.3,629144,291499,2035,1147,0.639534884,,163352,"Missing Ranges,Data Stream as Disjoint Intervals",summary ranges
275,303,Range Sum Query - Immutable,range-sum-query-immutable,"Given an integer array nums, handle multiple queries of the following type: Implement the NumArray class: ","Array,Design,Prefix Sum",Easy,55.2,628000,346813,1928,1641,0.540207341,,304307325,"Range Sum Query 2D - Immutable,Range Sum Query - Mutable,Maximum Size Subarray Sum Equals k",range sum query - immutable
276,658,Find K Closest Elements,find-k-closest-elements,"Given a sorted integer array arr, two integers k and x, return the k closest integers to x in the array. The result should also be sorted in ascending order. An integer a is closer to x than an integer b if: ","Array,Two Pointers,Binary Search,Sorting,Heap (Priority Queue)",Medium,44.5,627802,279285,4180,420,0.908695652,,374375719,"Guess Number Higher or Lower,Guess Number Higher or Lower II,Find K-th Smallest Pair Distance",find k closest elements
277,1371,Minimum Remove to Make Valid Parentheses,minimum-remove-to-make-valid-parentheses,"Given a string s of '(' , ')' and lowercase English characters. Your task is to remove the minimum number of parentheses ( '(' or ')', in any positions ) so that the resulting parentheses string is valid and return any valid string. Formally, a parentheses string is valid if and only if: ","String,Stack",Medium,65.8,627683,412716,4671,79,0.983368421,"Each prefix of a balanced parentheses has a number of open parentheses greater or equal than closed parentheses, similar idea with each suffix. Check the array from left to right, remove characters that do not meet the property mentioned above, same idea in backward way.",20952221,"Minimum Number of Swaps to Make the String Balanced,Check if a Parentheses String Can Be Valid",minimum remove to make valid parentheses
279,532,K-diff Pairs in an Array,k-diff-pairs-in-an-array,"Given an array of integers nums and an integer k, return the number of unique k-diff pairs in the array. A k-diff pair is an integer pair (nums[i], nums[j]), where the following are true: Notice that |val| denotes the absolute value of val. ","Array,Hash Table,Two Pointers,Binary Search,Sorting",Medium,40.1,625811,250865,2553,2046,0.555120678,,53021162150,"Minimum Absolute Difference in BST,Count Number of Pairs With Absolute Difference K,Kth Smallest Product of Two Sorted Arrays",k-diff pairs in an array
280,912,Random Pick with Weight,random-pick-with-weight,"You are given a 0-indexed array of positive integers w where w[i] describes the weight of the ith index. You need to implement the function pickIndex(), which randomly picks an index in the range [0, w.length - 1] (inclusive) and returns it. The probability of picking an index i is w[i] / sum(w). ","Math,Binary Search,Prefix Sum,Randomized",Medium,46.1,625439,288036,679,241,0.738043478,,398894914,"Random Pick Index,Random Pick with Blacklist,Random Point in Non-overlapping Rectangles",random pick with weight
281,51,N-Queens,n-queens,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively. ","Array,Backtracking",Hard,57.2,625138,357360,5603,152,0.973588184,,521043,"N-Queens II,Grid Illumination",n-queens
282,404,Sum of Left Leaves,sum-of-left-leaves,"Given the root of a binary tree, return the sum of all left leaves. A leaf is a node with no children. A left leaf is a leaf that is the left child of another node. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,55,621755,341893,3236,244,0.929885057,,,,sum of left leaves
285,783,Search in a Binary Search Tree,search-in-a-binary-search-tree,"You are given the root of a binary search tree (BST) and an integer val. Find the node in the BST that the node's value equals val and return the subtree rooted with that node. If such a node does not exist, return null. ","Tree,Binary Search Tree,Binary Tree",Easy,76.3,614317,468905,3234,150,0.955673759,,270784,"Closest Binary Search Tree Value,Insert into a Binary Search Tree",search in a binary search tree
286,647,Palindromic Substrings,palindromic-substrings,"Given a string s, return the number of palindromic substrings in it. A string is a palindrome when it reads the same backward as forward. A substring is a contiguous sequence of characters within the string. ","String,Dynamic Programming",Medium,64.6,614298,396625,6149,153,0.975721993,"How can we reuse a previously computed palindrome to compute a larger palindrome? If aba is a palindrome, is xabax and palindrome? Similarly is xabay a palindrome? Complexity based hint:
If we use brute-force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation?",5516,"Longest Palindromic Substring,Longest Palindromic Subsequence",palindromic substrings
287,95,Unique Binary Search Trees II,unique-binary-search-trees-ii,"Given an integer n, return all the structurally unique BST's (binary search trees), which has exactly n nodes of unique values from 1 to n. Return the answer in any order. ","Dynamic Programming,Backtracking,Tree,Binary Search Tree,Binary Tree",Medium,49.3,612378,301936,4623,302,0.938680203,,96241,"Unique Binary Search Trees,Different Ways to Add Parentheses",unique binary search trees ii
288,621,Task Scheduler,task-scheduler,"Given a characters array tasks, representing the tasks a CPU needs to do, where each letter represents a different task. Tasks could be done in any order. Each task is done in one unit of time. For each unit of time, the CPU could complete either one task or just be idle. However, there is a non-negative integer n that represents the cooldown period between two same tasks (the same letter in the array), that is that there must be at least n units of time between any two same tasks. Return the least number of units of times that the CPU will take to finish all the given tasks. ","Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting",Medium,54.4,610179,332057,6262,1206,0.83851098,,3587782084,"Rearrange String k Distance Apart,Reorganize String,Maximum Number of Weeks for Which You Can Work",task scheduler
289,132,Palindrome Partitioning II,palindrome-partitioning-ii,"Given a string s, partition s such that every substring of the partition is a palindrome. Return the minimum cuts needed for a palindrome partitioning of s. ","String,Dynamic Programming",Hard,33.1,606455,200922,3268,77,0.976980568,,1311871,"Palindrome Partitioning,Palindrome Partitioning IV",palindrome partitioning ii
290,137,Single Number II,single-number-ii,"Given an integer array nums where every element appears three times except for one, which appears exactly once. Find the single element and return it. You must implement a solution with a linear runtime complexity and use only constant extra space. ","Array,Bit Manipulation",Medium,56.5,605201,342067,4009,475,0.894067797,,136260,"Single Number,Single Number III",single number ii
291,99,Recover Binary Search Tree,recover-binary-search-tree,"You are given the root of a binary search tree (BST), where the values of exactly two nodes of the tree were swapped by mistake. Recover the tree without changing its structure. ","Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,46.3,603807,279687,4150,154,0.964219331,,,,recover binary search tree
292,441,Arranging Coins,arranging-coins,"You have n coins and you want to build a staircase with these coins. The staircase consists of k rows where the ith row has exactly i coins. The last row of the staircase may be incomplete. Given the integer n, return the number of complete rows of the staircase you will build. ","Math,Binary Search",Easy,45.3,602006,272594,2139,1012,0.678832117,,,,arranging coins
293,187,Repeated DNA Sequences,repeated-dna-sequences,"The DNA sequence is composed of a series of nucleotides abbreviated as 'A', 'C', 'G', and 'T'. When studying DNA, it is useful to identify repeated sequences within the DNA. Given a string s that represents a DNA sequence, return all the 10-letter-long sequences (substrings) that occur more than once in a DNA molecule. You may return the answer in any order. ","Hash Table,String,Bit Manipulation,Sliding Window,Rolling Hash,Hash Function",Medium,44.6,587059,261815,1945,406,0.827307529,,,,repeated dna sequences
294,724,Find Pivot Index,find-pivot-index,"Given an array of integers nums, calculate the pivot index of this array. The pivot index is the index where the sum of all the numbers strictly to the left of the index is equal to the sum of all the numbers strictly to the index's right. If the index is on the left edge of the array, then the left sum is 0 because there are no elements to the left. This also applies to the right edge of the array. Return the leftmost pivot index. If no such index exists, return -1. ","Array,Prefix Sum",Easy,51.5,584791,300925,3064,364,0.893815636,"We can precompute prefix sums P[i] = nums[0] + nums[1] + ... + nums[i-1].
Then for each index, the left sum is P[i], and the right sum is P[P.length - 1] - P[i] - nums[i].",56021022369,"Subarray Sum Equals K,Find the Middle Index in Array,Maximum Sum Score of Array",find pivot index
295,941,Sort Array By Parity,sort-array-by-parity,"Given an integer array nums, move all the even integers at the beginning of the array followed by all the odd integers. Return any array that satisfies this condition. ","Array,Two Pointers,Sorting",Easy,74.8,580427,434203,2633,111,0.959548105,,22832327,"Sort Even and Odd Indices Independently,Largest Number After Digit Swaps by Parity",sort array by parity
296,147,Insertion Sort List,insertion-sort-list,"Given the head of a singly linked list, sort the list using insertion sort, and return the sorted list's head. The steps of the insertion sort algorithm: The following is a graphical example of the insertion sort algorithm. The partially sorted list (black) initially contains only the first element in the list. One element (red) is removed from the input data and inserted in-place into the sorted list with each iteration. ","Linked List,Sorting",Medium,48.8,578361,282033,1974,787,0.714958348,,148850,"Sort List,Insert into a Sorted Circular Linked List",insertion sort list
299,135,Candy,candy,There are n children standing in a line. Each child is assigned a rating value given in the integer array ratings. You are giving candies to these children subjected to the following requirements: Return the minimum number of candies you need to have to distribute the candies to the children. ,"Array,Greedy",Hard,36.9,570383,210748,2714,246,0.916891892,,,,candy
300,1603,Running Sum of 1d Array,running-sum-of-1d-array,Given an array nums. We define a running sum of an array as runningSum[i] = sum(nums[0]…nums[i]). Return the running sum of nums. ,"Array,Prefix Sum",Easy,89.6,566858,507777,2513,177,0.934200743,Think about how we can calculate the i-th number in the running sum from the (i-1)-th number.,,,running sum of 1d array
301,264,Ugly Number II,ugly-number-ii,"An ugly number is a positive integer whose prime factors are limited to 2, 3, and 5. Given an integer n, return the nth ugly number. ","Hash Table,Math,Dynamic Programming,Heap (Priority Queue)",Medium,45.2,563935,254942,3941,210,0.949409781,"The naive approach is to call isUgly for every number until you reach the nth one. Most numbers are not ugly. Try to focus your effort on generating only the ugly ones. An ugly number must be multiplied by either 2, 3, or 5 from a smaller ugly number. The key is how to maintain the order of the ugly numbers. Try a similar approach of merging from three sorted lists: L1, L2, and L3. Assume you have Uk, the kth ugly number. Then Uk+1 must be Min(L1 * 2, L2 * 3, L3 * 5).",2.32E+17,"Merge k Sorted Lists,Count Primes,Ugly Number,Perfect Squares,Super Ugly Number,Ugly Number III",ugly number ii
302,299,Bulls and Cows,bulls-and-cows,"You are playing the Bulls and Cows game with your friend. You write down a secret number and ask your friend to guess what the number is. When your friend makes a guess, you provide a hint with the following info: Given the secret number secret and your friend's guess guess, return the hint for your friend's guess. The hint should be formatted as ""xAyB"", where x is the number of bulls and y is the number of cows. Note that both secret and guess may contain duplicate digits. ","Hash Table,String,Counting",Medium,47.1,561240,264594,1354,1292,0.511715797,,,,bulls and cows
303,739,Daily Temperatures,daily-temperatures,"Given an array of integers temperatures represents the daily temperatures, return an array answer such that answer[i] is the number of days you have to wait after the ith day to get a warmer temperature. If there is no future day for which this is possible, keep answer[i] == 0 instead. ","Array,Stack,Monotonic Stack",Medium,67,559365,374997,6760,155,0.97758496,"If the temperature is say, 70 today, then in the future a warmer temperature must be either 71, 72, 73, ..., 99, or 100.  We could remember when all of them occur next.",496937,"Next Greater Element I,Online Stock Span",daily temperatures
304,525,Contiguous Array,contiguous-array,"Given a binary array nums, return the maximum length of a contiguous subarray with an equal number of 0 and 1. ","Array,Hash Table,Prefix Sum",Medium,46.3,558046,258336,5250,227,0.958553953,,325,Maximum Size Subarray Sum Equals k,contiguous array
306,225,Implement Stack using Queues,implement-stack-using-queues,"Implement a last-in-first-out (LIFO) stack using only two queues. The implemented stack should support all the functions of a normal stack (push, top, pop, and empty). Implement the MyStack class: Notes: ","Stack,Design,Queue",Easy,52.5,552169,290064,2028,782,0.721708185,,232,Implement Queue using Stacks,implement stack using queues
308,59,Spiral Matrix II,spiral-matrix-ii,"Given a positive integer n, generate an n x n matrix filled with elements from 1 to n2 in spiral order. ","Array,Matrix,Simulation",Medium,64.7,549056,355230,3579,180,0.952114924,,54921,"Spiral Matrix,Spiral Matrix III",spiral matrix ii
